date,AAPL,Return,42d,252d,Mov_Vol
2001-08-21,8.96,-0.011098893068,10.4,12.1201587302,-0.065265388852
2001-08-22,9.1,0.015504186536,10.3516666667,12.0537301587,-0.0657437241
2001-08-23,8.9,-0.0222231367847,10.2780952381,11.9812698413,-0.0702821174264
2001-08-24,9.28,0.04181027006,10.2161904762,11.9067460317,-0.0697019105845
2001-08-27,9.46,0.0192108362657,10.1635714286,11.831547619,-0.0692726238859
2001-08-28,9.2,-0.0278688990088,10.1023809524,11.7528571429,-0.0723881523543
2001-08-29,8.91,-0.0320292425723,10.0378571429,11.6707936508,-0.0756094132197
2001-08-30,8.91,0.0,9.96547619048,11.5880952381,-0.0759491192204
2001-08-31,9.27,0.039609138095,9.90238095238,11.503968254,-0.0749603845005
2001-09-04,9.12,-0.0163135754915,9.84333333333,11.4142857143,-0.0785207077392
2001-09-05,9.27,0.0163135754915,9.80166666667,11.3271825397,-0.0764921688111
2001-09-06,8.86,-0.0452366149608,9.74238095238,11.2463888889,-0.0751712526618
2001-09-07,8.64,-0.025144181801,9.69642857143,11.1576587302,-0.0804802663756
2001-09-10,8.69,0.00577035646134,9.635,11.0753174603,-0.0768642004435
2001-09-17,8.49,-0.023283938954,9.54714285714,10.9930555556,-0.0778584392286
2001-09-18,8.14,-0.0420988203088,9.445,10.9107539683,-0.0797731271211
2001-09-19,8.51,0.0444517625708,9.36238095238,10.8294444444,-0.0772341352388
2001-09-20,7.84,-0.082003108223,9.25023809524,10.7477380952,-0.081149356071
2001-09-21,7.86,0.0025477720788,9.18976190476,10.6693650794,-0.0791452201275
2001-09-24,8.23,0.0459994082479,9.1480952381,10.5816666667,-0.0821664090623
2001-09-25,7.77,-0.0575158503094,9.09523809524,10.4935714286,-0.0850373900288
2001-09-26,7.57,-0.0260770969302,9.04285714286,10.4025,-0.0878256605308
2001-09-27,7.76,0.0247892667458,9.00023809524,10.3208333333,-0.081595720067
2001-09-28,7.76,0.0,8.96523809524,10.2480952381,-0.0763847153663
2001-10-01,7.77,0.00128783018443,8.92880952381,10.1727777778,-0.0778773313395
2001-10-02,7.53,-0.0313751225678,8.88238095238,10.1005952381,-0.0773802796217
2001-10-03,7.49,-0.00532624428267,8.83523809524,10.0332142857,-0.0745773720918
2001-10-04,7.94,0.0583444777299,8.80047619048,9.95857142857,-0.0765139435065
2001-10-05,8.07,0.0162402070228,8.76571428571,9.93948412698,-0.0294511327425
2001-10-08,8.1,0.00371057939654,8.72261904762,9.92353174603,-0.025386167707
2001-10-09,8.0,-0.0124225199986,8.68095238095,9.91103174603,-0.0209139054275
2001-10-10,8.41,0.049979932305,8.65357142857,9.89753968254,-0.0213880744576
2001-10-11,8.87,0.0532533223366,8.63571428571,9.88896825397,-0.0137291838448
2001-10-12,9.01,0.0156602752988,8.62523809524,9.88067460317,-0.0131411970975
2001-10-15,8.99,-0.00222222313672,8.61261904762,9.87317460317,-0.0120201139179
2001-10-16,9.01,0.00222222313672,8.60071428571,9.8675,-0.00927962693862
2001-10-17,8.49,-0.059446071297,8.57547619048,9.86226190476,-0.00910348052805
2001-10-18,9.0,0.058335577013,8.5669047619,9.85829365079,-0.00663708862943
2001-10-19,9.15,0.0165293019512,8.56523809524,9.85083333333,-0.0117713856424
2001-10-22,9.51,0.0385899972699,8.56976190476,9.84591269841,-0.00772067260591
2001-10-23,9.07,-0.0473716124303,8.57071428571,9.84198412698,-0.00652586533179
2001-10-24,9.48,0.0442120521399,8.58071428571,9.83968253968,-0.00374076783384
2001-10-25,9.6,0.0125787822069,8.59595238095,9.8401984127,0.000858873320078
2001-10-26,9.34,-0.027456846233,8.60166666667,9.83857142857,-0.00270629068508
2001-10-29,8.81,-0.0584188122927,8.59952380952,9.8330952381,-0.00916686101461
2001-10-30,8.8,-0.00113571846393,8.5880952381,9.83055555556,-0.00442245260541
2001-10-31,8.78,-0.00227531383714,8.5719047619,9.82869047619,-0.00328496129242
2001-11-01,9.3,0.0575379925122,8.57428571429,9.82888888889,0.000339591543892
2001-11-02,9.28,-0.0021528533611,8.5830952381,9.82888888889,2.78657133876e-18
2001-11-05,9.53,0.026583170868,8.59785714286,9.82841269841,-0.000788257361432
2001-11-06,9.78,0.0258947663806,8.61,9.82841269841,-1.42060499623e-17
2001-11-07,9.8,0.0020429016298,8.62619047619,9.82662698413,-0.00282813932159
2001-11-08,9.35,-0.0470060423759,8.6280952381,9.81948412698,-0.0110909362411
2001-11-09,9.35,0.0,8.63976190476,9.81246031746,-0.0109212170217
2001-11-12,9.38,0.00320341971754,8.65738095238,9.80714285714,-0.00841168707392
2001-11-13,9.69,0.0325146628845,8.68119047619,9.80333333333,-0.0059507650283
2001-11-14,9.81,0.0123078476746,8.71261904762,9.80246031746,-0.00139710336744
2001-11-15,9.73,-0.00818837737936,8.75047619048,9.80099206349,-0.00235103525498
2001-11-16,9.48,-0.026029579931,8.77357142857,9.80079365079,-0.000331374140443
2001-11-19,10.0,0.0534007767271,8.825,9.80202380952,0.00198372556532
2001-11-20,9.77,-0.0232686269394,8.87047619048,9.80063492063,-0.00221721505327
2001-11-21,9.84,0.00713924500947,8.90880952381,9.80023809524,-0.000636952634338
2001-11-23,9.92,0.00809721023262,8.96,9.8019047619,0.00272519457324
2001-11-26,10.69,0.0747558037402,9.03428571429,9.80761904762,0.00911430922649
2001-11-27,10.5,-0.0179334678735,9.09952380952,9.81170634921,0.00650390870914
2001-11-28,10.27,-0.022148233223,9.15928571429,9.81515873016,0.00557606795811
2001-11-29,10.21,-0.00585939176389,9.21738095238,9.81896825397,0.00622029240108
2001-11-30,10.65,0.0421922599789,9.29166666667,9.82293650794,0.0062113407001
2001-12-03,10.52,-0.0122816848459,9.36380952381,9.82757936508,0.00742711931616
2001-12-04,11.2,0.0626355709915,9.44142857143,9.83623015873,0.0136362932349
2001-12-05,11.88,0.0589425356335,9.53214285714,9.84853174603,0.0190481436548
2001-12-06,11.39,-0.0421205364754,9.61047619048,9.86099206349,0.0203170126487
2001-12-07,11.27,-0.0105914494074,9.68833333333,9.87186507937,0.0175473135226
2001-12-10,11.27,0.0,9.75642857143,9.88345238095,0.0188908400634
2001-12-11,10.89,-0.0342993911068,9.80452380952,9.89293650794,0.0156085955882
2001-12-12,10.74,-0.0138698478642,9.84571428571,9.90714285714,0.025541900985
2001-12-13,10.5,-0.0225998319172,9.88166666667,9.9203968254,0.0241182453915
2001-12-14,10.19,-0.0299684099288,9.90976190476,9.93095238095,0.0190564525193
2001-12-17,10.31,0.0117074507942,9.9530952381,9.94174603175,0.0192939969667
2001-12-18,10.51,0.01921288686,9.98904761905,9.95293650794,0.0196797534765
2001-12-19,10.81,0.0281444467623,10.0285714286,9.96607142857,0.0230286579077
2001-12-20,10.34,-0.0444517625708,10.0483333333,9.97845238095,0.0226252630443
2001-12-21,10.5,0.0153553880832,10.0823809524,9.99222222222,0.0252725032308
2001-12-24,10.68,0.0169975763686,10.110952381,10.0063492063,0.025541900985
2001-12-26,10.74,0.00560225554867,10.1380952381,10.0211904762,0.0269655565784
2001-12-27,11.03,0.0266437441847,10.1783333333,10.0364285714,0.0269569088462
2001-12-28,11.22,0.0170790668291,10.2357142857,10.0530555556,0.0294504370282
2001-12-31,10.95,-0.024358443832,10.2869047619,10.0667460317,0.0238392546657
2002-01-02,11.65,0.0619667237492,10.3552380952,10.0838492063,0.0291012068704
2002-01-03,11.79,0.0119455345376,10.4145238095,10.1012301587,0.0292557904251
2002-01-04,11.85,0.00507615303186,10.4757142857,10.1188492063,0.0295755580094
2002-01-07,11.45,-0.0343381375809,10.5214285714,10.1347619048,0.0271579367867
2002-01-08,11.31,-0.0123024398722,10.5578571429,10.1501190476,0.0263829559195
2002-01-09,10.82,-0.0442910167097,10.5821428571,10.1605555556,0.0175427407197
2002-01-10,10.61,-0.0195993207924,10.6121428571,10.1688095238,0.0137457861975
